id,landmarks,Usage
b8a5057fdc51fb0a,,Private
a0ae5b40187f3e6e,,Public
8102cf887daa75b9,,Public
4ecb95f6b5bb1388,,Private
957bbc9b29ad7e6f,,Private
21708d4a4d8c931c,,Public
d2c100037c1d86e6,,Public
a584a76ac65d7fe7,,Private
df538ae06673150c,,Public
8941051ef87f36bf,,Private
7faf3d3b547d6c45,,Ignored
0506f1d66b9ed0ad,,Private
bfcffa41da41d87c,,Private
c1f3244381ed53e5,,Private
431dfda67c51e5ad,,Private
4c8898c7d816d5f0,,Public
40517621dd39c9c6,,Public
9ce880c5e376e622,,Private
32097c718bf4f324,,Public
6feeb1e433071e35,,Private
bae487666017f388,,Public
69fd486629b894ec,,Public
78fa979bd804806f,,Private
fd4dcea73aa4f677,,Private
2b6f88f15e0a2df8,,Private
b655b0a69983be07,,Private
4d628b7bc537ff48,,Public
6fc20c6b7fb05352,,Private
f7f3fed31682305b,,Private
3eced58e98dca84b,,Public
a31e60843e3eb422,,Private
0ee668f81be179bf,,Private
aa56024372044020,,Public
387df9309a676531,,Public
8e9b5f6ac68b0772,,Private
93194dc828a83513,,Public
7cdb52efe4f0b539,,Private
27c862e3335eb02a,,Private
301d4723250b1416,,Private
6994de3347102ac1,,Ignored
22e4ef57f705a9fc,,Private
ac97eac1f0307c54,,Private
a7cde5dc2f26c332,,Public
9a239ebdc0ae9261,,Private
f4687eb0a87b23d9,,Private
193217000681e204,,Private
b2f345b4bf694a0b,,Public
a878f592acd8b3b9,,Private
eba4b87d299ab487,,Private
fcba63b43f4f3c4b,,Ignored
3c5d3d7e19ae9a96,,Private
b9ae764e1406a749,,Public
c98fed6db3d9c469,,Private
9e225c44d36a9c93,,Private
a87d38cb8e4f7738,,Public
d7e1de290ac38c57,,Private
ab87933e006a4b61,,Private
fd0364b6cebbceed,,Private
29a75cd0daa06a4c,,Private
20833b0cc277568f,,Private
c765d4c9b59cb67f,,Private
4b506a1bd5565a61,,Private
0dd9a34be372b363,,Private
595ce4afe989b1a8,,Public
3f2ed0a8e8903f80,,Public
